standard,rep,value,concentration
solid,1,9987.99,
solid,2,10001.16,
blank,1,42.49,
blank,2,38.22,
blank,3,39.19,
F,1,92.89,5.323913858
F,2,91.61,5.323913858
F,3,90.7,5.323913858
E,1,187.53,12.77669944
E,2,184.72,12.77669944
E,3,185.26,12.77669944
D,1,350.44,25.55339888
D,2,345.6,25.55339888
D,3,345.27,25.55339888
C,1,706.16,52.1718118
C,2,697.11,52.1718118
C,3,695.23,52.1718118
B ,1,3537.81,259.6044007
B,2,3517.37,259.6044007
B,3,3513.2,259.6044007
A,1,7137.93,532.5070225
A,2,7159.08,532.5070225
A,3,7125.8,532.5070225
1,1,14161.51,1065.014045
1,2,14156.98,1065.014045
1,3,14135.58,1065.014045
