...1,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer,dilution,notes
SAMPLE-001,132.78,RFU,NA,solid std,NA,NA,chla_rfu,29,9,2021,NA,G04,NA,NA
SAMPLE-002,160.59,RFU,O78,U-29,int,shallow,chla_rfu,26,7,2021,NA,G04,NA,NA
SAMPLE-003,1754.38,RFU,CH4-167,U-06,int,shallow,chla_rfu,28,7,2021,NA,G04,NA,NA
SAMPLE-004,3252.28,RFU,CH4-167,U-06,int,duplicate,chla_rfu,28,7,2021,NA,G04,NA,NA
SAMPLE-005,0.19,RFU,CH4-167,U-06,int,blank,chla_rfu,28,7,2021,NA,G04,NA,NA
SAMPLE-006,7059.26,RFU,232,U-13,int,shallow,chla_rfu,28,7,2021,NA,G04,NA,NA
SAMPLE-007,5664.37,RFU,O68,SU-4,int,shallow,chla_rfu,29,7,2021,NA,G04,NA,NA
SAMPLE-008,2436.56,RFU,O68,SU-4,int,duplicate,chla_rfu,29,7,2021,NA,G04,NA,NA
SAMPLE-009,20.3,RFU,O68,SU-4,int,blank,chla_rfu,29,7,2021,NA,G04,NA,NA
SAMPLE-010,208.79,RFU,69_riverine,U-07,int,shallow,chla_rfu,31,7,2021,NA,G04,NA,NA
SAMPLE-011,3373.85,RFU,148,7,int,duplicate,chla_rfu,16,8,2021,NA,G04,NA,NA
SAMPLE-012,0.49,RFU,148,7,int,blank,chla_rfu,16,8,2021,NA,G04,NA,NA
SAMPLE-013,2461.32,RFU,CH4-291,U-13,int,shallow,chla_rfu,17,8,2021,NA,G04,NA,NA
SAMPLE-014,2612.86,RFU,CH4-291,U-13,int,duplicate,chla_rfu,17,8,2021,NA,G04,NA,NA
SAMPLE-015,1.33,RFU,CH4-291,U-13,int,blank,chla_rfu,17,8,2021,NA,G04,NA,NA
SAMPLE-016,588.51,RFU,71,U-29,int,shallow,chla_rfu,19,8,2021,NA,G04,NA,NA
SAMPLE-017,616.75,RFU,CH4-296,U-17,int,shallow,chla_rfu,19,8,2021,NA,G04,NA,NA
SAMPLE-018,2755.21,RFU,CH4-317,U-18,int,shallow,chla_rfu,20,8,2021,NA,G04,NA,NA
SAMPLE-019,1674.87,RFU,CH4-297,U-41,int,shallow,chla_rfu,23,8,2021,NA,G04,NA,NA
SAMPLE-020,2542.98,RFU,CH4-119,O4,int,shallow,chla_rfu,24,8,2021,NA,G04,NA,NA
SAMPLE-021,1863.24,RFU,O67,O4,int,shallow,chla_rfu,25,8,2021,NA,G04,NA,NA
SAMPLE-022,779.62,RFU,O67,O4,int,duplicate,chla_rfu,25,8,2021,NA,G04,NA,NA
SAMPLE-023,3346.91,RFU,CH4-016,O8,int,shallow,chla_rfu,25,8,2021,NA,G04,NA,NA
SAMPLE-024,1181.4,RFU,O72,U-09,int,shallow,chla_rfu,26,8,2021,NA,G04,NA,NA
SAMPLE-025,3528.04,RFU,CH4-082,O4,int,shallow,chla_rfu,26,8,2021,NA,G04,NA,NA
SAMPLE-026,2010.86,RFU,CH4-137,O4,int,shallow,chla_rfu,28,8,2021,NA,G04,NA,NA
SAMPLE-027,2073.11,RFU,CH4-137,O4,int,duplicate,chla_rfu,28,8,2021,NA,G04,NA,NA
SAMPLE-028,2.94,RFU,CH4-137,O4,int,blank,chla_rfu,28,8,2021,NA,G04,NA,NA
SAMPLE-029,1803.81,RFU,CH4-167,U-06,int,duplicate,chla_rfu,28,7,2021,NA,G04,2,NA
SAMPLE-030,2109.56,RFU,232,U-13,int,shallow,chla_rfu,28,7,2021,NA,G04,4,NA
SAMPLE-031,1627.34,RFU,O68,SU-4,int,shallow,chla_rfu,29,7,2021,NA,G04,4,NA
SAMPLE-032,1831.78,RFU,148,7,int,duplicate,chla_rfu,16,8,2021,NA,G04,2,NA
SAMPLE-033,1511.56,RFU,CH4-317,U-18,int,shallow,chla_rfu,20,8,2021,NA,G04,2,NA
SAMPLE-034,1802.4,RFU,CH4-016,O8,int,shallow,chla_rfu,25,8,2021,NA,G04,2,NA
SAMPLE-035,1828.01,RFU,CH4-082,O4,int,shallow,chla_rfu,26,8,2021,NA,G04,2,NA
SAMPLE-036,136.73,RFU,NA,solid std,NA,NA,chla_rfu,29,9,2021,NA,G04,NA,NA
added blank,0,RFU,232,U-13,int,blank,chla_rfu,28,7,2021,NA,G04,NA,NA
added blank,0,RFU,69_riverine,U-07,int,blank,chla_rfu,31,7,2021,NA,G04,NA,NA
added blank,0,RFU,71,U-29,int,blank,chla_rfu,19,8,2021,NA,G04,NA,NA
added blank,0,RFU,CH4-016,O8,int,blank,chla_rfu,25,8,2021,NA,G04,NA,NA
added blank,0,RFU,CH4-082,O4,int,blank,chla_rfu,26,8,2021,NA,G04,NA,NA
added blank,0,RFU,CH4-119,O4,int,blank,chla_rfu,24,8,2021,NA,G04,NA,NA
added blank,0,RFU,CH4-296,U-17,int,blank,chla_rfu,19,8,2021,NA,G04,NA,NA
added blank,0,RFU,CH4-297,U-41,int,blank,chla_rfu,23,8,2021,NA,G04,NA,NA
added blank,0,RFU,CH4-317,U-18,int,blank,chla_rfu,20,8,2021,NA,G04,NA,NA
added blank,0,RFU,O67,O4,int,blank,chla_rfu,25,8,2021,NA,G04,NA,NA
added blank,0,RFU,O72,U-09,int,blank,chla_rfu,26,8,2021,NA,G04,NA,NA
added blank,0,RFU,O78,U-29,int,blank,chla_rfu,26,7,2021,NA,G04,NA,NA
added blank,0,RFU,NA,solid std,NA,blank,chla_rfu,29,9,2021,NA,G04,NA,NA
